Forward: Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.
Reverse: Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz,isInsideBBox,isInsideHeightRange,srcPPM
-7.037E-005,2.280E-005,-3.298E-005,1.946E-010,-9.993E-010,-3.298E-005,False,False,-80.0
-7.035E-005,2.279E-005,-3.302E-005,1.951E-010,-9.989E-010,-3.302E-005,False,False,-72.8
-7.033E-005,2.280E-005,-3.306E-005,1.955E-010,-9.984E-010,-3.306E-005,False,False,-65.9
-7.031E-005,2.280E-005,-3.310E-005,1.960E-010,-9.979E-010,-3.310E-005,False,False,-59.3
-7.029E-005,2.280E-005,-3.314E-005,1.964E-010,-9.975E-010,-3.314E-005,False,False,-53.0
-7.037E-005,2.286E-005,-3.295E-005,1.952E-010,-1.001E-009,-3.295E-005,False,False,-79.6
-7.035E-005,2.285E-005,-3.299E-005,1.956E-010,-1.001E-009,-3.299E-005,True,False,-72.4
-7.033E-005,2.286E-005,-3.303E-005,1.960E-010,-1.001E-009,-3.302E-005,True,False,-65.5
-7.031E-005,2.285E-005,-3.306E-005,1.965E-010,-1.000E-009,-3.306E-005,True,False,-58.9
-7.029E-005,2.285E-005,-3.310E-005,1.969E-010,-9.996E-010,-3.310E-005,False,False,-52.6
-7.036E-005,2.291E-005,-3.291E-005,1.957E-010,-1.004E-009,-3.291E-005,False,False,-79.1
